State,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20,6/20/20,6/27/20
Illinois,1,1,0,0,0,0,4,58,689,2738,6866,8823,9980,12617,16728,17580,16372,15339,11121,7973,4981,4233,4973
Indiana,0,0,0,0,0,0,1,15,112,1105,2720,3482,3206,3758,4896,4437,3548,3621,3310,2786,2546,2518,2514
Iowa,0,0,0,0,0,0,0,17,52,229,489,723,1003,2579,3551,3028,2657,2570,2346,2234,2239,1779,2577
Kansas,0,0,0,0,0,0,0,8,49,209,432,577,546,1314,1750,1944,1110,1007,744,671,659,1077,1520
Kentucky,0,0,0,0,0,0,1,15,71,293,537,776,1014,1208,964,1561,1248,883,1133,1583,1158,1185,1537
Louisiana,0,0,0,0,0,0,0,77,686,2552,9181,7518,3566,2932,2628,2277,2700,2808,2652,2909,3797,3102,5384
Maine,0,0,0,0,0,0,0,3,67,141,245,160,231,118,188,255,240,365,269,242,233,181,216
Maryland,0,0,0,0,0,0,3,24,166,802,2130,4569,4632,5440,6707,7061,6434,7527,6520,5467,3823,2651,2494
Massachusetts,0,1,0,0,0,0,5,132,385,3734,7479,11124,14103,17172,13303,11123,8813,7267,5132,3359,2263,1541,1507
Michigan,0,0,0,0,0,0,0,36,589,4265,9845,9765,7531,6758,6635,4252,4639,4731,3179,2689,922,1709,2134
Minnesota,0,0,0,0,0,0,1,20,113,307,424,562,782,1237,2786,4558,4179,4876,4345,3311,2671,2295,2566
Mississippi,0,0,0,0,0,0,0,6,134,523,792,1187,1332,1744,1723,1937,1745,1882,2224,1810,2309,1293,4890
Missouri,0,0,0,0,0,0,0,4,85,775,1608,1923,1318,1395,1341,1539,1060,1096,1254,1641,1193,1824,2516
Montana,0,0,0,0,0,0,0,5,22,102,136,112,49,19,10,3,10,11,26,35,48,110,154
Nebraska,0,0,0,0,0,0,1,17,20,58,225,378,550,1470,2598,2776,2127,1743,1942,1667,1068,1067,1068
Nevada,0,0,0,0,0,0,2,18,141,465,1116,960,924,913,850,782,642,713,991,974,1506,1979,3363
New Hampshire,0,0,0,0,0,0,2,5,54,126,353,345,457,455,632,582,545,533,403,527,280,219,199
New Jersey,0,0,0,0,0,0,4,65,1258,9797,23000,24027,23269,24078,18219,13680,7692,8051,6468,4285,2712,2229,2039
New Mexico,0,0,0,0,0,0,0,13,42,153,298,585,707,862,1072,1046,1069,778,999,1176,821,809,1189
New York,0,0,0,0,0,0,76,537,11114,40683,61423,67193,56448,44669,30834,20145,15110,11694,9734,7656,5314,4642,4651
North Carolina,0,0,0,0,0,0,2,23,231,764,1466,1868,1974,2440,2820,2890,3652,4734,4930,6924,8127,8545,9422
North Dakota,0,0,0,0,0,0,0,1,27,66,92,107,235,275,350,311,384,517,189,262,242,193,207
Ohio,0,0,0,0,0,0,0,26,221,1159,2333,2511,3972,5365,3748,4362,3777,3934,3625,3078,2740,3410,5194
Oklahoma,0,0,0,0,0,0,1,3,49,324,784,707,597,729,657,639,747,723,458,641,1014,1965,2608
Oregon,0,0,0,0,0,1,5,30,101,342,420,472,473,409,382,525,452,276,297,385,807,1373,1344
Pennsylvania,0,0,0,0,0,0,2,45,352,2446,7599,11275,9933,9501,9341,8066,6625,5824,4688,3808,3439,2646,3856
Rhode Island,0,0,0,0,0,0,3,17,46,173,567,1543,2142,2638,2160,1700,1445,1518,867,622,506,390,324
South Carolina,0,0,0,0,0,0,2,17,155,486,1257,1294,1037,1005,1236,1042,1130,1234,1499,2059,4502,5801,8183
South Dakota,0,0,0,0,0,0,0,8,6,54,144,414,916,605,441,805,566,505,496,407,466,392,401
Tennessee,0,0,0,0,0,0,1,31,272,1207,1811,1810,1457,2600,3472,2107,2495,2522,2781,3611,3372,4897,5726
Texas,0,0,0,0,0,0,8,52,522,1873,4112,6456,5681,5449,6764,7477,9058,7324,7899,11795,12445,22666,36313
Utah,0,0,0,0,0,0,1,9,108,484,826,779,710,1031,1037,1118,965,1192,1273,2265,2183,3087,3560
Vermont,0,0,0,0,0,0,0,5,44,162,250,250,92,40,43,35,13,20,23,69,79,22,53
Virginia,0,0,0,0,0,0,0,37,120,583,1667,2670,2976,4313,5372,5458,6487,6066,7862,5786,4472,3574,3804
Washington,1,0,0,0,0,6,95,540,1151,2237,3217,3187,1342,1543,1684,1671,1614,977,2084,2093,2096,2687,3179
West Virginia,0,0,0,0,0,0,0,0,12,84,186,295,208,225,175,138,147,235,284,147,138,226,282
Wisconsin,0,0,0,0,0,0,0,27,255,773,975,1183,986,1488,1973,2279,2248,2690,3353,2341,1947,2021,2747
Wyoming,0,0,0,0,0,0,0,2,21,59,105,74,48,182,88,74,88,72,85,41,111,129,213
